Start,End
Haridwar,Dehradun
Haridwar,PauriGarhwal
Dehradun,TehriGarhwal
Dehradun,Uttarkashi
TehriGarhwal,Uttarkashi
TehriGarhwal,Rudraprayag
Rudraprayag,Chamoli
PauriGarhwal,Chamoli
PauriGarhwal,Almora
PauriGarhwal,Nainital
Chamoli,Bageshwar
UdhamSinghNagar,Nainital
UdhamSinghNagar,Champawat
Nainital,Almora
Nainital,Champawat
Almora,Pithoragarh
Almora,Bageshwar
Almora,Champawat
Champawat,Pithoragarh
