Start,End
Mon,Longleng
Mon,Noklak
Longleng,Mokokchung
Mokokchung,Tuensang
Mokokchung,Zunheboto
Tuensang,Zunheboto
Tuensang,Noklak
Noklak,Zunheboto
Zunheboto,Wokha
Zunheboto,Kohima
Zunheboto,Phek
Wokha,Kohima
Kiphire,Zunheboto
Phek,Kohima
Kohima,Dimapur
Kohima,Peren
Dimapur,Peren
