Start,End
Aizwal,Mamit
Aizwal,Champhai
Aizwal,Kolasib
Aizwal,Serchhip
Lunglei,Serchhip
Lunglei,Mamit
Lunglei,Lawngtlai
Lunglei,Saiha
Serchhip,Champhai
Mamit,Kolasib
Lawngtlai,Saiha
